date,district,disaster
2022-01-01,Ampara,none
2022-01-01,Anuradhapura,none
2022-01-01,Badulla,none
2022-01-01,Batticaloa,none
2022-01-01,Colombo,none
2022-01-01,Galle,none
2022-01-01,Gampaha,none
2022-01-01,Hambantota,none
2022-01-01,Jaffna,none
2022-01-01,Kalutara,none
2022-01-01,Kandy,none
2022-01-01,Kegalle,none
2022-01-01,Kilinochchi,none
2022-01-01,Kurunegala,none
2022-01-01,Mannar,none
2022-01-01,Matale,none
2022-01-01,Matara,none
2022-01-01,Monaragala,none
2022-01-01,Mullaitivu,none
2022-01-01,Nuwara Eliya,none
2022-01-01,Polonnaruwa,none
2022-01-01,Puttalam,none
2022-01-01,Ratnapura,none
2022-01-01,Trincomalee,none
2022-01-01,Vavuniya,none
2022-01-02,Ampara,none
2022-01-02,Anuradhapura,none
2022-01-02,Badulla,none
2022-01-02,Batticaloa,none
2022-01-02,Colombo,none
2022-01-02,Galle,none
2022-01-02,Gampaha,none
2022-01-02,Hambantota,none
2022-01-02,Jaffna,none
2022-01-02,Kalutara,none
2022-01-02,Kandy,none
2022-01-02,Kegalle,none
2022-01-02,Kilinochchi,none
2022-01-02,Kurunegala,none
2022-01-02,Mannar,none
2022-01-02,Matale,none
2022-01-02,Matara,none
2022-01-02,Monaragala,none
2022-01-02,Mullaitivu,none
2022-01-02,Nuwara Eliya,none
2022-01-02,Polonnaruwa,none
2022-01-02,Puttalam,none
2022-01-02,Ratnapura,none
2022-01-02,Trincomalee,none
2022-01-02,Vavuniya,none
2022-01-03,Ampara,none
2022-01-03,Anuradhapura,none
2022-01-03,Badulla,none
2022-01-03,Batticaloa,none
2022-01-03,Colombo,none
2022-01-03,Galle,none
2022-01-03,Gampaha,none
2022-01-03,Hambantota,none
2022-01-03,Jaffna,none
2022-01-03,Kalutara,none
2022-01-03,Kandy,none
2022-01-03,Kegalle,none
2022-01-03,Kilinochchi,none
2022-01-03,Kurunegala,none
2022-01-03,Mannar,none
2022-01-03,Matale,none
2022-01-03,Matara,none
2022-01-03,Monaragala,none
2022-01-03,Mullaitivu,none
2022-01-03,Nuwara Eliya,none
2022-01-03,Polonnaruwa,none
2022-01-03,Puttalam,none
2022-01-03,Ratnapura,none
2022-01-03,Trincomalee,none
2022-01-03,Vavuniya,none
2022-01-04,Ampara,none
2022-01-04,Anuradhapura,none
2022-01-04,Badulla,none
2022-01-04,Batticaloa,none
2022-01-04,Colombo,none
2022-01-04,Galle,none
2022-01-04,Gampaha,none
2022-01-04,Hambantota,none
2022-01-04,Jaffna,none
2022-01-04,Kalutara,none
2022-01-04,Kandy,none
2022-01-04,Kegalle,none
2022-01-04,Kilinochchi,none
2022-01-04,Kurunegala,none
2022-01-04,Mannar,none
2022-01-04,Matale,none
2022-01-04,Matara,none
2022-01-04,Monaragala,none
2022-01-04,Mullaitivu,none
2022-01-04,Nuwara Eliya,none
2022-01-04,Polonnaruwa,none
2022-01-04,Puttalam,none
2022-01-04,Ratnapura,none
2022-01-04,Trincomalee,none
2022-01-04,Vavuniya,none
2022-01-05,Ampara,none
2022-01-05,Anuradhapura,none
2022-01-05,Badulla,none
2022-01-05,Batticaloa,none
2022-01-05,Colombo,none
2022-01-05,Galle,none
2022-01-05,Gampaha,none
2022-01-05,Hambantota,none
2022-01-05,Jaffna,none
2022-01-05,Kalutara,none
2022-01-05,Kandy,none
2022-01-05,Kegalle,none
2022-01-05,Kilinochchi,none
2022-01-05,Kurunegala,none
2022-01-05,Mannar,none
2022-01-05,Matale,none
2022-01-05,Matara,none
2022-01-05,Monaragala,none
2022-01-05,Mullaitivu,none
2022-01-05,Nuwara Eliya,none
2022-01-05,Polonnaruwa,none
2022-01-05,Puttalam,none
2022-01-05,Ratnapura,none
2022-01-05,Trincomalee,none
2022-01-05,Vavuniya,none
2022-01-06,Ampara,none
2022-01-06,Anuradhapura,none
2022-01-06,Badulla,none
2022-01-06,Batticaloa,none
2022-01-06,Colombo,none
2022-01-06,Galle,none
2022-01-06,Gampaha,none
2022-01-06,Hambantota,none
2022-01-06,Jaffna,none
2022-01-06,Kalutara,none
2022-01-06,Kandy,none
