date,district,rainfall_mm,temperature_c
2022-01-01,Ampara,8.8,24.4
2022-01-02,Ampara,10.2,24.3
2022-01-03,Ampara,17.8,24.1
2022-01-04,Ampara,7.9,24.4
2022-01-05,Ampara,10.9,24.1
2022-01-06,Ampara,2.9,25.2
2022-01-07,Ampara,2.5,25.5
2022-01-08,Ampara,3.4,24.8
2022-01-09,Ampara,5.4,24.7
2022-01-10,Ampara,15.0,24.0
2022-01-11,Ampara,4.0,25.0
2022-01-12,Ampara,2.3,25.6
2022-01-13,Ampara,2.8,25.7
2022-01-14,Ampara,2.6,25.7
2022-01-15,Ampara,0.9,25.9
2022-01-16,Ampara,5.5,25.5
2022-01-17,Ampara,3.5,25.8
2022-01-18,Ampara,1.1,25.2
2022-01-19,Ampara,0.8,25.3
2022-01-20,Ampara,0.0,24.5
2022-01-21,Ampara,0.0,23.6
2022-01-22,Ampara,0.0,23.9
2022-01-23,Ampara,0.0,23.8
2022-01-24,Ampara,0.0,24.3
2022-01-25,Ampara,0.0,24.5
2022-01-26,Ampara,0.0,24.3
2022-01-27,Ampara,0.0,24.4
2022-01-28,Ampara,1.9,24.9
2022-01-29,Ampara,1.5,26.0
2022-01-30,Ampara,1.7,25.8
2022-01-31,Ampara,1.4,25.4
2022-02-01,Ampara,0.0,25.2
2022-02-02,Ampara,0.0,24.5
2022-02-03,Ampara,0.0,25.3
2022-02-04,Ampara,0.0,25.5
2022-02-05,Ampara,0.0,25.3
2022-02-06,Ampara,0.1,25.6
2022-02-07,Ampara,1.8,25.3
2022-02-08,Ampara,0.3,25.6
2022-02-09,Ampara,0.6,25.7
2022-02-10,Ampara,9.1,25.5
2022-02-11,Ampara,15.9,25.2
2022-02-12,Ampara,22.7,25.0
2022-02-13,Ampara,42.4,23.3
2022-02-14,Ampara,2.8,25.3
2022-02-15,Ampara,0.0,25.3
2022-02-16,Ampara,0.0,25.1
2022-02-17,Ampara,0.0,24.9
2022-02-18,Ampara,2.5,25.6
2022-02-19,Ampara,2.6,25.1
2022-02-20,Ampara,1.3,26.0
2022-02-21,Ampara,0.5,26.1
2022-02-22,Ampara,0.2,26.2
2022-02-23,Ampara,4.7,25.1
2022-02-24,Ampara,0.2,25.9
2022-02-25,Ampara,2.8,25.7
2022-02-26,Ampara,7.5,25.0
2022-02-27,Ampara,0.2,25.6
2022-02-28,Ampara,0.1,26.0
2022-03-01,Ampara,0.7,26.1
2022-03-02,Ampara,6.5,24.5
2022-03-03,Ampara,5.0,25.7
2022-03-04,Ampara,4.2,25.8
2022-03-05,Ampara,0.5,26.5
2022-03-06,Ampara,1.3,26.2
2022-03-07,Ampara,1.2,26.6
2022-03-08,Ampara,1.1,26.4
2022-03-09,Ampara,0.0,26.0
2022-03-10,Ampara,0.4,26.2
2022-03-11,Ampara,1.9,26.5
2022-03-12,Ampara,9.1,25.7
2022-03-13,Ampara,0.4,26.2
2022-03-14,Ampara,0.3,26.6
2022-03-15,Ampara,0.4,26.6
2022-03-16,Ampara,0.0,26.3
2022-03-17,Ampara,0.0,26.7
2022-03-18,Ampara,5.4,26.4
2022-03-19,Ampara,4.7,26.6
2022-03-20,Ampara,0.3,27.3
2022-03-21,Ampara,0.4,27.9
2022-03-22,Ampara,1.9,27.7
2022-03-23,Ampara,1.2,27.8
2022-03-24,Ampara,2.7,26.8
2022-03-25,Ampara,2.3,27.0
2022-03-26,Ampara,0.6,27.3
2022-03-27,Ampara,0.5,27.4
2022-03-28,Ampara,0.4,27.5
2022-03-29,Ampara,1.5,27.5
2022-03-30,Ampara,11.4,27.3
2022-03-31,Ampara,2.5,27.5
2022-04-01,Ampara,2.1,27.2
2022-04-02,Ampara,4.5,27.0
2022-04-03,Ampara,2.7,26.9
2022-04-04,Ampara,5.2,26.7
2022-04-05,Ampara,7.1,26.6
2022-04-06,Ampara,11.8,26.0
2022-04-07,Ampara,9.8,26.6
2022-04-08,Ampara,22.5,25.7
2022-04-09,Ampara,24.1,26.0
2022-04-10,Ampara,10.3,25.9
2022-04-11,Ampara,6.4,26.6
2022-04-12,Ampara,7.9,26.4
2022-04-13,Ampara,4.6,26.8
2022-04-14,Ampara,1.4,26.8
2022-04-15,Ampara,0.9,27.5
2022-04-16,Ampara,4.2,27.7
2022-04-17,Ampara,3.3,27.7
2022-04-18,Ampara,1.9,27.6
2022-04-19,Ampara,2.7,27.5
2022-04-20,Ampara,2.4,27.3
2022-04-21,Ampara,3.1,27.0
2022-04-22,Ampara,17.4,26.3
2022-04-23,Ampara,10.9,26.4
2022-04-24,Ampara,6.6,27.7
2022-04-25,Ampara,0.7,27.6
2022-04-26,Ampara,1.6,27.6
2022-04-27,Ampara,2.6,27.8
2022-04-28,Ampara,15.5,27.4
2022-04-29,Ampara,6.0,27.3
2022-04-30,Ampara,1.0,27.9
2022-05-01,Ampara,0.6,27.9
2022-05-02,Ampara,0.4,28.2
2022-05-03,Ampara,3.5,28.6
2022-05-04,Ampara,3.2,28.3
2022-05-05,Ampara,4.1,27.3
2022-05-06,Ampara,1.2,28.3
2022-05-07,Ampara,0.2,29.1
2022-05-08,Ampara,0.0,29.5
2022-05-09,Ampara,0.0,30.1
2022-05-10,Ampara,0.8,29.0
2022-05-11,Ampara,0.4,29.3
2022-05-12,Ampara,0.2,28.7
2022-05-13,Ampara,6.7,27.9
2022-05-14,Ampara,23.3,27.5
2022-05-15,Ampara,1.5,27.7
2022-05-16,Ampara,0.4,28.6
2022-05-17,Ampara,0.7,29.1
2022-05-18,Ampara,0.3,29.4
2022-05-19,Ampara,1.1,29.3
2022-05-20,Ampara,0.1,29.4
2022-05-21,Ampara,0.7,29.4
2022-05-22,Ampara,0.1,29.3
2022-05-23,Ampara,0.0,29.5
2022-05-24,Ampara,6.9,28.4
2022-05-25,Ampara,7.2,28.3
2022-05-26,Ampara,0.1,28.5
2022-05-27,Ampara,1.8,28.3
2022-05-28,Ampara,0.3,28.8
2022-05-29,Ampara,5.6,28.1
2022-05-30,Ampara,9.2,27.9
2022-05-31,Ampara,0.3,28.0
2022-06-01,Ampara,0.3,28.6
2022-06-02,Ampara,0.7,29.1
2022-06-03,Ampara,2.3,28.6
2022-06-04,Ampara,0.1,29.2
2022-06-05,Ampara,0.5,29.5
2022-06-06,Ampara,7.2,28.3
2022-06-07,Ampara,0.4,28.5
2022-06-08,Ampara,1.9,29.2
2022-06-09,Ampara,0.3,29.0
2022-06-10,Ampara,1.7,29.2
2022-06-11,Ampara,0.7,28.8
2022-06-12,Ampara,2.6,28.3
2022-06-13,Ampara,3.2,28.6
2022-06-14,Ampara,3.8,28.4
2022-06-15,Ampara,11.0,27.8
2022-06-16,Ampara,4.9,26.7
2022-06-17,Ampara,1.0,26.8
2022-06-18,Ampara,9.2,27.2
2022-06-19,Ampara,9.2,27.2
2022-06-20,Ampara,0.1,28.3
2022-06-21,Ampara,1.9,27.8
2022-06-22,Ampara,1.7,27.9
2022-06-23,Ampara,0.5,28.1
2022-06-24,Ampara,11.8,27.7
2022-06-25,Ampara,2.1,28.8
2022-06-26,Ampara,0.0,29.2
2022-06-27,Ampara,0.6,28.9
2022-06-28,Ampara,0.2,29.7
2022-06-29,Ampara,1.6,28.8
2022-06-30,Ampara,2.0,28.9
2022-07-01,Ampara,0.7,29.3
2022-07-02,Ampara,14.7,28.7
2022-07-03,Ampara,0.1,29.3
2022-07-04,Ampara,0.0,30.3
2022-07-05,Ampara,0.0,29.3
2022-07-06,Ampara,4.0,29.6
2022-07-07,Ampara,0.0,29.9
2022-07-08,Ampara,0.0,29.7
2022-07-09,Ampara,0.0,30.5
2022-07-10,Ampara,0.0,30.4
2022-07-11,Ampara,3.3,27.3
